Order2017	POAexemptCode	Description
44267	S52.321K	"Displaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with nonunion"
44268	S52.321M	"Displaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with nonunion"
44269	S52.321N	"Displaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44270	S52.321P	"Displaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with malunion"
44271	S52.321Q	"Displaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with malunion"
44272	S52.321R	"Displaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44273	S52.321S	"Displaced transverse fracture of shaft of right radius, sequela"
44278	S52.322D	"Displaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with routine healing"
44279	S52.322E	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with routine healing"
44280	S52.322F	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44281	S52.322G	"Displaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with delayed healing"
44282	S52.322H	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with delayed healing"
44283	S52.322J	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44284	S52.322K	"Displaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion"
44285	S52.322M	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with nonunion"
44286	S52.322N	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44287	S52.322P	"Displaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with malunion"
44288	S52.322Q	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with malunion"
44289	S52.322R	"Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44290	S52.322S	"Displaced transverse fracture of shaft of left radius, sequela"
44295	S52.323D	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing"
44296	S52.323E	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
44297	S52.323F	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44298	S52.323G	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with delayed healing"
44299	S52.323H	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
44300	S52.323J	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44301	S52.323K	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with nonunion"
44302	S52.323M	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
44303	S52.323N	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44304	S52.323P	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with malunion"
44305	S52.323Q	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
44306	S52.323R	"Displaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44307	S52.323S	"Displaced transverse fracture of shaft of unspecified radius, sequela"
44312	S52.324D	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with routine healing"
44313	S52.324E	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with routine healing"
44314	S52.324F	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44315	S52.324G	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing"
44316	S52.324H	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with delayed healing"
44317	S52.324J	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44318	S52.324K	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with nonunion"
44319	S52.324M	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with nonunion"
44320	S52.324N	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44321	S52.324P	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for closed fracture with malunion"
44322	S52.324Q	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type I or II with malunion"
44323	S52.324R	"Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44324	S52.324S	"Nondisplaced transverse fracture of shaft of right radius, sequela"
44329	S52.325D	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with routine healing"
44330	S52.325E	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with routine healing"
44331	S52.325F	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44332	S52.325G	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with delayed healing"
44333	S52.325H	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with delayed healing"
44334	S52.325J	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44335	S52.325K	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion"
44336	S52.325M	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with nonunion"
44337	S52.325N	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44338	S52.325P	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for closed fracture with malunion"
44339	S52.325Q	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type I or II with malunion"
44340	S52.325R	"Nondisplaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44341	S52.325S	"Nondisplaced transverse fracture of shaft of left radius, sequela"
44346	S52.326D	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing"
44347	S52.326E	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
44348	S52.326F	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44349	S52.326G	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with delayed healing"
44350	S52.326H	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
44351	S52.326J	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44352	S52.326K	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with nonunion"
44353	S52.326M	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
44354	S52.326N	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44355	S52.326P	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for closed fracture with malunion"
44356	S52.326Q	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
44357	S52.326R	"Nondisplaced transverse fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44358	S52.326S	"Nondisplaced transverse fracture of shaft of unspecified radius, sequela"
44364	S52.331D	"Displaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with routine healing"
44365	S52.331E	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with routine healing"
44366	S52.331F	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44367	S52.331G	"Displaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing"
44368	S52.331H	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with delayed healing"
44369	S52.331J	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44370	S52.331K	"Displaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with nonunion"
44371	S52.331M	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with nonunion"
44372	S52.331N	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44373	S52.331P	"Displaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with malunion"
44374	S52.331Q	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with malunion"
44375	S52.331R	"Displaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44376	S52.331S	"Displaced oblique fracture of shaft of right radius, sequela"
44381	S52.332D	"Displaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with routine healing"
44382	S52.332E	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with routine healing"
44383	S52.332F	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44384	S52.332G	"Displaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with delayed healing"
44385	S52.332H	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with delayed healing"
44386	S52.332J	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44387	S52.332K	"Displaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion"
44388	S52.332M	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with nonunion"
44389	S52.332N	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44390	S52.332P	"Displaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with malunion"
44391	S52.332Q	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with malunion"
44392	S52.332R	"Displaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44393	S52.332S	"Displaced oblique fracture of shaft of left radius, sequela"
44398	S52.333D	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing"
44399	S52.333E	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
44400	S52.333F	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44401	S52.333G	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with delayed healing"
44402	S52.333H	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
44403	S52.333J	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44404	S52.333K	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with nonunion"
44405	S52.333M	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
44406	S52.333N	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44407	S52.333P	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with malunion"
44408	S52.333Q	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
44409	S52.333R	"Displaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44410	S52.333S	"Displaced oblique fracture of shaft of unspecified radius, sequela"
44415	S52.334D	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with routine healing"
44416	S52.334E	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with routine healing"
44417	S52.334F	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44418	S52.334G	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with delayed healing"
44419	S52.334H	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with delayed healing"
44420	S52.334J	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44421	S52.334K	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with nonunion"
44422	S52.334M	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with nonunion"
44423	S52.334N	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44424	S52.334P	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for closed fracture with malunion"
44425	S52.334Q	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type I or II with malunion"
44426	S52.334R	"Nondisplaced oblique fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44427	S52.334S	"Nondisplaced oblique fracture of shaft of right radius, sequela"
44432	S52.335D	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with routine healing"
44433	S52.335E	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with routine healing"
44434	S52.335F	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44435	S52.335G	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with delayed healing"
44436	S52.335H	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with delayed healing"
44437	S52.335J	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44438	S52.335K	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with nonunion"
44439	S52.335M	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with nonunion"
44440	S52.335N	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44441	S52.335P	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for closed fracture with malunion"
44442	S52.335Q	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type I or II with malunion"
44443	S52.335R	"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44444	S52.335S	"Nondisplaced oblique fracture of shaft of left radius, sequela"
44449	S52.336D	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with routine healing"
44450	S52.336E	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with routine healing"
44451	S52.336F	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44452	S52.336G	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with delayed healing"
44453	S52.336H	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing"
44454	S52.336J	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44455	S52.336K	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with nonunion"
44456	S52.336M	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with nonunion"
44457	S52.336N	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44458	S52.336P	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for closed fracture with malunion"
44459	S52.336Q	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type I or II with malunion"
44460	S52.336R	"Nondisplaced oblique fracture of shaft of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44461	S52.336S	"Nondisplaced oblique fracture of shaft of unspecified radius, sequela"
44467	S52.341D	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing"
44468	S52.341E	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing"
44469	S52.341F	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44470	S52.341G	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing"
44471	S52.341H	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing"
44472	S52.341J	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44473	S52.341K	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion"
44474	S52.341M	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion"
44475	S52.341N	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44476	S52.341P	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion"
44477	S52.341Q	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion"
44478	S52.341R	"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44479	S52.341S	"Displaced spiral fracture of shaft of radius, right arm, sequela"
44484	S52.342D	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing"
44485	S52.342E	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing"
44486	S52.342F	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44487	S52.342G	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing"
44488	S52.342H	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing"
44489	S52.342J	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44490	S52.342K	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion"
44491	S52.342M	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion"
44492	S52.342N	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44493	S52.342P	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion"
44494	S52.342Q	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion"
44495	S52.342R	"Displaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44496	S52.342S	"Displaced spiral fracture of shaft of radius, left arm, sequela"
44501	S52.343D	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing"
44502	S52.343E	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing"
44503	S52.343F	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44504	S52.343G	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing"
44505	S52.343H	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing"
44506	S52.343J	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44507	S52.343K	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion"
44508	S52.343M	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion"
44509	S52.343N	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44510	S52.343P	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion"
44511	S52.343Q	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion"
44512	S52.343R	"Displaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44513	S52.343S	"Displaced spiral fracture of shaft of radius, unspecified arm, sequela"
44518	S52.344D	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing"
44519	S52.344E	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing"
44520	S52.344F	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44521	S52.344G	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing"
44522	S52.344H	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing"
44523	S52.344J	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44524	S52.344K	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion"
44525	S52.344M	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion"
44526	S52.344N	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44527	S52.344P	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion"
44528	S52.344Q	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion"
44529	S52.344R	"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44530	S52.344S	"Nondisplaced spiral fracture of shaft of radius, right arm, sequela"
44535	S52.345D	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing"
44536	S52.345E	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing"
44537	S52.345F	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44538	S52.345G	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing"
44539	S52.345H	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with delayed healing"
44540	S52.345J	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44541	S52.345K	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion"
44542	S52.345M	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with nonunion"
44543	S52.345N	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44544	S52.345P	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for closed fracture with malunion"
44545	S52.345Q	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion"
44546	S52.345R	"Nondisplaced spiral fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44547	S52.345S	"Nondisplaced spiral fracture of shaft of radius, left arm, sequela"
44552	S52.346D	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing"
44553	S52.346E	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing"
44554	S52.346F	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44555	S52.346G	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing"
44556	S52.346H	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing"
44557	S52.346J	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44558	S52.346K	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion"
44559	S52.346M	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion"
44560	S52.346N	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44561	S52.346P	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion"
44562	S52.346Q	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion"
44563	S52.346R	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44564	S52.346S	"Nondisplaced spiral fracture of shaft of radius, unspecified arm, sequela"
44570	S52.351D	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with routine healing"
44571	S52.351E	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with routine healing"
44572	S52.351F	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44573	S52.351G	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing"
44574	S52.351H	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing"
44575	S52.351J	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
44576	S52.351K	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion"
44577	S52.351M	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion"
44578	S52.351N	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
44579	S52.351P	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion"
44580	S52.351Q	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion"
44581	S52.351R	"Displaced comminuted fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
44582	S52.351S	"Displaced comminuted fracture of shaft of radius, right arm, sequela"
44587	S52.352D	"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing"
44588	S52.352E	"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing"
44589	S52.352F	"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
44590	S52.352G	"Displaced comminuted fracture of shaft of radius, left arm, subsequent encounter for closed fracture with delayed healing"
