Order	POAexemptCode	Description
46444	S60.412S	"Abrasion of right middle finger, sequela"
46447	S60.413D	"Abrasion of left middle finger, subsequent encounter"
46448	S60.413S	"Abrasion of left middle finger, sequela"
46451	S60.414D	"Abrasion of right ring finger, subsequent encounter"
46452	S60.414S	"Abrasion of right ring finger, sequela"
46455	S60.415D	"Abrasion of left ring finger, subsequent encounter"
46456	S60.415S	"Abrasion of left ring finger, sequela"
46459	S60.416D	"Abrasion of right little finger, subsequent encounter"
46460	S60.416S	"Abrasion of right little finger, sequela"
46463	S60.417D	"Abrasion of left little finger, subsequent encounter"
46464	S60.417S	"Abrasion of left little finger, sequela"
46467	S60.418D	"Abrasion of other finger, subsequent encounter"
46468	S60.418S	"Abrasion of other finger, sequela"
46471	S60.419D	"Abrasion of unspecified finger, subsequent encounter"
46472	S60.419S	"Abrasion of unspecified finger, sequela"
46476	S60.420D	"Blister (nonthermal) of right index finger, subsequent encounter"
46477	S60.420S	"Blister (nonthermal) of right index finger, sequela"
46480	S60.421D	"Blister (nonthermal) of left index finger, subsequent encounter"
46481	S60.421S	"Blister (nonthermal) of left index finger, sequela"
46484	S60.422D	"Blister (nonthermal) of right middle finger, subsequent encounter"
46485	S60.422S	"Blister (nonthermal) of right middle finger, sequela"
46488	S60.423D	"Blister (nonthermal) of left middle finger, subsequent encounter"
46489	S60.423S	"Blister (nonthermal) of left middle finger, sequela"
46492	S60.424D	"Blister (nonthermal) of right ring finger, subsequent encounter"
46493	S60.424S	"Blister (nonthermal) of right ring finger, sequela"
46496	S60.425D	"Blister (nonthermal) of left ring finger, subsequent encounter"
46497	S60.425S	"Blister (nonthermal) of left ring finger, sequela"
46500	S60.426D	"Blister (nonthermal) of right little finger, subsequent encounter"
46501	S60.426S	"Blister (nonthermal) of right little finger, sequela"
46504	S60.427D	"Blister (nonthermal) of left little finger, subsequent encounter"
46505	S60.427S	"Blister (nonthermal) of left little finger, sequela"
46508	S60.428D	"Blister (nonthermal) of other finger, subsequent encounter"
46509	S60.428S	"Blister (nonthermal) of other finger, sequela"
46512	S60.429D	"Blister (nonthermal) of unspecified finger, subsequent encounter"
46513	S60.429S	"Blister (nonthermal) of unspecified finger, sequela"
46517	S60.440D	"External constriction of right index finger, subsequent encounter"
46518	S60.440S	"External constriction of right index finger, sequela"
46521	S60.441D	"External constriction of left index finger, subsequent encounter"
46522	S60.441S	"External constriction of left index finger, sequela"
46525	S60.442D	"External constriction of right middle finger, subsequent encounter"
46526	S60.442S	"External constriction of right middle finger, sequela"
46529	S60.443D	"External constriction of left middle finger, subsequent encounter"
46530	S60.443S	"External constriction of left middle finger, sequela"
46533	S60.444D	"External constriction of right ring finger, subsequent encounter"
46534	S60.444S	"External constriction of right ring finger, sequela"
46537	S60.445D	"External constriction of left ring finger, subsequent encounter"
46538	S60.445S	"External constriction of left ring finger, sequela"
46541	S60.446D	"External constriction of right little finger, subsequent encounter"
46542	S60.446S	"External constriction of right little finger, sequela"
46545	S60.447D	"External constriction of left little finger, subsequent encounter"
46546	S60.447S	"External constriction of left little finger, sequela"
46549	S60.448D	"External constriction of other finger, subsequent encounter"
46550	S60.448S	"External constriction of other finger, sequela"
46553	S60.449D	"External constriction of unspecified finger, subsequent encounter"
46554	S60.449S	"External constriction of unspecified finger, sequela"
46558	S60.450D	"Superficial foreign body of right index finger, subsequent encounter"
46559	S60.450S	"Superficial foreign body of right index finger, sequela"
46562	S60.451D	"Superficial foreign body of left index finger, subsequent encounter"
46563	S60.451S	"Superficial foreign body of left index finger, sequela"
46566	S60.452D	"Superficial foreign body of right middle finger, subsequent encounter"
46567	S60.452S	"Superficial foreign body of right middle finger, sequela"
46570	S60.453D	"Superficial foreign body of left middle finger, subsequent encounter"
46571	S60.453S	"Superficial foreign body of left middle finger, sequela"
46574	S60.454D	"Superficial foreign body of right ring finger, subsequent encounter"
46575	S60.454S	"Superficial foreign body of right ring finger, sequela"
46578	S60.455D	"Superficial foreign body of left ring finger, subsequent encounter"
46579	S60.455S	"Superficial foreign body of left ring finger, sequela"
46582	S60.456D	"Superficial foreign body of right little finger, subsequent encounter"
46583	S60.456S	"Superficial foreign body of right little finger, sequela"
46586	S60.457D	"Superficial foreign body of left little finger, subsequent encounter"
46587	S60.457S	"Superficial foreign body of left little finger, sequela"
46590	S60.458D	"Superficial foreign body of other finger, subsequent encounter"
46591	S60.458S	"Superficial foreign body of other finger, sequela"
46594	S60.459D	"Superficial foreign body of unspecified finger, subsequent encounter"
46595	S60.459S	"Superficial foreign body of unspecified finger, sequela"
46599	S60.460D	"Insect bite (nonvenomous) of right index finger, subsequent encounter"
46600	S60.460S	"Insect bite (nonvenomous) of right index finger, sequela"
46603	S60.461D	"Insect bite (nonvenomous) of left index finger, subsequent encounter"
46604	S60.461S	"Insect bite (nonvenomous) of left index finger, sequela"
46607	S60.462D	"Insect bite (nonvenomous) of right middle finger, subsequent encounter"
46608	S60.462S	"Insect bite (nonvenomous) of right middle finger, sequela"
46611	S60.463D	"Insect bite (nonvenomous) of left middle finger, subsequent encounter"
46612	S60.463S	"Insect bite (nonvenomous) of left middle finger, sequela"
46615	S60.464D	"Insect bite (nonvenomous) of right ring finger, subsequent encounter"
46616	S60.464S	"Insect bite (nonvenomous) of right ring finger, sequela"
46619	S60.465D	"Insect bite (nonvenomous) of left ring finger, subsequent encounter"
46620	S60.465S	"Insect bite (nonvenomous) of left ring finger, sequela"
46623	S60.466D	"Insect bite (nonvenomous) of right little finger, subsequent encounter"
46624	S60.466S	"Insect bite (nonvenomous) of right little finger, sequela"
46627	S60.467D	"Insect bite (nonvenomous) of left little finger, subsequent encounter"
46628	S60.467S	"Insect bite (nonvenomous) of left little finger, sequela"
46631	S60.468D	"Insect bite (nonvenomous) of other finger, subsequent encounter"
46632	S60.468S	"Insect bite (nonvenomous) of other finger, sequela"
46635	S60.469D	"Insect bite (nonvenomous) of unspecified finger, subsequent encounter"
46636	S60.469S	"Insect bite (nonvenomous) of unspecified finger, sequela"
46640	S60.470D	"Other superficial bite of right index finger, subsequent encounter"
46641	S60.470S	"Other superficial bite of right index finger, sequela"
46644	S60.471D	"Other superficial bite of left index finger, subsequent encounter"
46645	S60.471S	"Other superficial bite of left index finger, sequela"
46648	S60.472D	"Other superficial bite of right middle finger, subsequent encounter"
46649	S60.472S	"Other superficial bite of right middle finger, sequela"
46652	S60.473D	"Other superficial bite of left middle finger, subsequent encounter"
46653	S60.473S	"Other superficial bite of left middle finger, sequela"
46656	S60.474D	"Other superficial bite of right ring finger, subsequent encounter"
46657	S60.474S	"Other superficial bite of right ring finger, sequela"
46660	S60.475D	"Other superficial bite of left ring finger, subsequent encounter"
46661	S60.475S	"Other superficial bite of left ring finger, sequela"
46664	S60.476D	"Other superficial bite of right little finger, subsequent encounter"
46665	S60.476S	"Other superficial bite of right little finger, sequela"
46668	S60.477D	"Other superficial bite of left little finger, subsequent encounter"
46669	S60.477S	"Other superficial bite of left little finger, sequela"
46672	S60.478D	"Other superficial bite of other finger, subsequent encounter"
46673	S60.478S	"Other superficial bite of other finger, sequela"
46676	S60.479D	"Other superficial bite of unspecified finger, subsequent encounter"
46677	S60.479S	"Other superficial bite of unspecified finger, sequela"
46682	S60.511D	"Abrasion of right hand, subsequent encounter"
46683	S60.511S	"Abrasion of right hand, sequela"
46686	S60.512D	"Abrasion of left hand, subsequent encounter"
46687	S60.512S	"Abrasion of left hand, sequela"
46690	S60.519D	"Abrasion of unspecified hand, subsequent encounter"
46691	S60.519S	"Abrasion of unspecified hand, sequela"
46695	S60.521D	"Blister (nonthermal) of right hand, subsequent encounter"
46696	S60.521S	"Blister (nonthermal) of right hand, sequela"
46699	S60.522D	"Blister (nonthermal) of left hand, subsequent encounter"
46700	S60.522S	"Blister (nonthermal) of left hand, sequela"
46703	S60.529D	"Blister (nonthermal) of unspecified hand, subsequent encounter"
46704	S60.529S	"Blister (nonthermal) of unspecified hand, sequela"
46708	S60.541D	"External constriction of right hand, subsequent encounter"
46709	S60.541S	"External constriction of right hand, sequela"
46712	S60.542D	"External constriction of left hand, subsequent encounter"
46713	S60.542S	"External constriction of left hand, sequela"
46716	S60.549D	"External constriction of unspecified hand, subsequent encounter"
46717	S60.549S	"External constriction of unspecified hand, sequela"
46721	S60.551D	"Superficial foreign body of right hand, subsequent encounter"
46722	S60.551S	"Superficial foreign body of right hand, sequela"
46725	S60.552D	"Superficial foreign body of left hand, subsequent encounter"
46726	S60.552S	"Superficial foreign body of left hand, sequela"
46729	S60.559D	"Superficial foreign body of unspecified hand, subsequent encounter"
46730	S60.559S	"Superficial foreign body of unspecified hand, sequela"
46734	S60.561D	"Insect bite (nonvenomous) of right hand, subsequent encounter"
46735	S60.561S	"Insect bite (nonvenomous) of right hand, sequela"
46738	S60.562D	"Insect bite (nonvenomous) of left hand, subsequent encounter"
46739	S60.562S	"Insect bite (nonvenomous) of left hand, sequela"
46742	S60.569D	"Insect bite (nonvenomous) of unspecified hand, subsequent encounter"
46743	S60.569S	"Insect bite (nonvenomous) of unspecified hand, sequela"
46747	S60.571D	"Other superficial bite of hand of right hand, subsequent encounter"
46748	S60.571S	"Other superficial bite of hand of right hand, sequela"
46751	S60.572D	"Other superficial bite of hand of left hand, subsequent encounter"
46752	S60.572S	"Other superficial bite of hand of left hand, sequela"
46755	S60.579D	"Other superficial bite of hand of unspecified hand, subsequent encounter"
46756	S60.579S	"Other superficial bite of hand of unspecified hand, sequela"
46761	S60.811D	"Abrasion of right wrist, subsequent encounter"
46762	S60.811S	"Abrasion of right wrist, sequela"
46765	S60.812D	"Abrasion of left wrist, subsequent encounter"
46766	S60.812S	"Abrasion of left wrist, sequela"
46769	S60.819D	"Abrasion of unspecified wrist, subsequent encounter"
46770	S60.819S	"Abrasion of unspecified wrist, sequela"
46774	S60.821D	"Blister (nonthermal) of right wrist, subsequent encounter"
46775	S60.821S	"Blister (nonthermal) of right wrist, sequela"
46778	S60.822D	"Blister (nonthermal) of left wrist, subsequent encounter"
46779	S60.822S	"Blister (nonthermal) of left wrist, sequela"
46782	S60.829D	"Blister (nonthermal) of unspecified wrist, subsequent encounter"
46783	S60.829S	"Blister (nonthermal) of unspecified wrist, sequela"
46787	S60.841D	"External constriction of right wrist, subsequent encounter"
46788	S60.841S	"External constriction of right wrist, sequela"
46791	S60.842D	"External constriction of left wrist, subsequent encounter"
46792	S60.842S	"External constriction of left wrist, sequela"
46795	S60.849D	"External constriction of unspecified wrist, subsequent encounter"
46796	S60.849S	"External constriction of unspecified wrist, sequela"
46800	S60.851D	"Superficial foreign body of right wrist, subsequent encounter"
46801	S60.851S	"Superficial foreign body of right wrist, sequela"
46804	S60.852D	"Superficial foreign body of left wrist, subsequent encounter"
46805	S60.852S	"Superficial foreign body of left wrist, sequela"
46808	S60.859D	"Superficial foreign body of unspecified wrist, subsequent encounter"
46809	S60.859S	"Superficial foreign body of unspecified wrist, sequela"
46813	S60.861D	"Insect bite (nonvenomous) of right wrist, subsequent encounter"
46814	S60.861S	"Insect bite (nonvenomous) of right wrist, sequela"
46817	S60.862D	"Insect bite (nonvenomous) of left wrist, subsequent encounter"
46818	S60.862S	"Insect bite (nonvenomous) of left wrist, sequela"
46821	S60.869D	"Insect bite (nonvenomous) of unspecified wrist, subsequent encounter"
46822	S60.869S	"Insect bite (nonvenomous) of unspecified wrist, sequela"
46826	S60.871D	"Other superficial bite of right wrist, subsequent encounter"
46827	S60.871S	"Other superficial bite of right wrist, sequela"
46830	S60.872D	"Other superficial bite of left wrist, subsequent encounter"
46831	S60.872S	"Other superficial bite of left wrist, sequela"
46834	S60.879D	"Other superficial bite of unspecified wrist, subsequent encounter"
46835	S60.879S	"Other superficial bite of unspecified wrist, sequela"
46840	S60.911D	"Unspecified superficial injury of right wrist, subsequent encounter"
46841	S60.911S	"Unspecified superficial injury of right wrist, sequela"
46844	S60.912D	"Unspecified superficial injury of left wrist, subsequent encounter"
46845	S60.912S	"Unspecified superficial injury of left wrist, sequela"
46848	S60.919D	"Unspecified superficial injury of unspecified wrist, subsequent encounter"
46849	S60.919S	"Unspecified superficial injury of unspecified wrist, sequela"
46853	S60.921D	"Unspecified superficial injury of right hand, subsequent encounter"
46854	S60.921S	"Unspecified superficial injury of right hand, sequela"
46857	S60.922D	"Unspecified superficial injury of left hand, subsequent encounter"
46858	S60.922S	"Unspecified superficial injury of left hand, sequela"
46861	S60.929D	"Unspecified superficial injury of unspecified hand, subsequent encounter"
46862	S60.929S	"Unspecified superficial injury of unspecified hand, sequela"
46866	S60.931D	"Unspecified superficial injury of right thumb, subsequent encounter"
46867	S60.931S	"Unspecified superficial injury of right thumb, sequela"
46870	S60.932D	"Unspecified superficial injury of left thumb, subsequent encounter"
46871	S60.932S	"Unspecified superficial injury of left thumb, sequela"
46874	S60.939D	"Unspecified superficial injury of unspecified thumb, subsequent encounter"
46875	S60.939S	"Unspecified superficial injury of unspecified thumb, sequela"
46879	S60.940D	"Unspecified superficial injury of right index finger, subsequent encounter"
46880	S60.940S	"Unspecified superficial injury of right index finger, sequela"
46883	S60.941D	"Unspecified superficial injury of left index finger, subsequent encounter"
46884	S60.941S	"Unspecified superficial injury of left index finger, sequela"
46887	S60.942D	"Unspecified superficial injury of right middle finger, subsequent encounter"
46888	S60.942S	"Unspecified superficial injury of right middle finger, sequela"
46891	S60.943D	"Unspecified superficial injury of left middle finger, subsequent encounter"
46892	S60.943S	"Unspecified superficial injury of left middle finger, sequela"
46895	S60.944D	"Unspecified superficial injury of right ring finger, subsequent encounter"
46896	S60.944S	"Unspecified superficial injury of right ring finger, sequela"
46899	S60.945D	"Unspecified superficial injury of left ring finger, subsequent encounter"
46900	S60.945S	"Unspecified superficial injury of left ring finger, sequela"
46903	S60.946D	"Unspecified superficial injury of right little finger, subsequent encounter"
46904	S60.946S	"Unspecified superficial injury of right little finger, sequela"
46907	S60.947D	"Unspecified superficial injury of left little finger, subsequent encounter"
46908	S60.947S	"Unspecified superficial injury of left little finger, sequela"
46911	S60.948D	"Unspecified superficial injury of other finger, subsequent encounter"
46912	S60.948S	"Unspecified superficial injury of other finger, sequela"
46915	S60.949D	"Unspecified superficial injury of unspecified finger, subsequent encounter"
46916	S60.949S	"Unspecified superficial injury of unspecified finger, sequela"
46922	S61.001D	"Unspecified open wound of right thumb without damage to nail, subsequent encounter"
46923	S61.001S	"Unspecified open wound of right thumb without damage to nail, sequela"
46926	S61.002D	"Unspecified open wound of left thumb without damage to nail, subsequent encounter"
46927	S61.002S	"Unspecified open wound of left thumb without damage to nail, sequela"
46930	S61.009D	"Unspecified open wound of unspecified thumb without damage to nail, subsequent encounter"
46931	S61.009S	"Unspecified open wound of unspecified thumb without damage to nail, sequela"
46935	S61.011D	"Laceration without foreign body of right thumb without damage to nail, subsequent encounter"
46936	S61.011S	"Laceration without foreign body of right thumb without damage to nail, sequela"
46939	S61.012D	"Laceration without foreign body of left thumb without damage to nail, subsequent encounter"
46940	S61.012S	"Laceration without foreign body of left thumb without damage to nail, sequela"
46943	S61.019D	"Laceration without foreign body of unspecified thumb without damage to nail, subsequent encounter"
46944	S61.019S	"Laceration without foreign body of unspecified thumb without damage to nail, sequela"
46948	S61.021D	"Laceration with foreign body of right thumb without damage to nail, subsequent encounter"
46949	S61.021S	"Laceration with foreign body of right thumb without damage to nail, sequela"
46952	S61.022D	"Laceration with foreign body of left thumb without damage to nail, subsequent encounter"
46953	S61.022S	"Laceration with foreign body of left thumb without damage to nail, sequela"
46956	S61.029D	"Laceration with foreign body of unspecified thumb without damage to nail, subsequent encounter"
46957	S61.029S	"Laceration with foreign body of unspecified thumb without damage to nail, sequela"
46961	S61.031D	"Puncture wound without foreign body of right thumb without damage to nail, subsequent encounter"
46962	S61.031S	"Puncture wound without foreign body of right thumb without damage to nail, sequela"
46965	S61.032D	"Puncture wound without foreign body of left thumb without damage to nail, subsequent encounter"
46966	S61.032S	"Puncture wound without foreign body of left thumb without damage to nail, sequela"
46969	S61.039D	"Puncture wound without foreign body of unspecified thumb without damage to nail, subsequent encounter"
46970	S61.039S	"Puncture wound without foreign body of unspecified thumb without damage to nail, sequela"
46974	S61.041D	"Puncture wound with foreign body of right thumb without damage to nail, subsequent encounter"
46975	S61.041S	"Puncture wound with foreign body of right thumb without damage to nail, sequela"
46978	S61.042D	"Puncture wound with foreign body of left thumb without damage to nail, subsequent encounter"
46979	S61.042S	"Puncture wound with foreign body of left thumb without damage to nail, sequela"
46982	S61.049D	"Puncture wound with foreign body of unspecified thumb without damage to nail, subsequent encounter"
46983	S61.049S	"Puncture wound with foreign body of unspecified thumb without damage to nail, sequela"
46987	S61.051D	"Open bite of right thumb without damage to nail, subsequent encounter"
46988	S61.051S	"Open bite of right thumb without damage to nail, sequela"
46991	S61.052D	"Open bite of left thumb without damage to nail, subsequent encounter"
46992	S61.052S	"Open bite of left thumb without damage to nail, sequela"
46995	S61.059D	"Open bite of unspecified thumb without damage to nail, subsequent encounter"
46996	S61.059S	"Open bite of unspecified thumb without damage to nail, sequela"
47001	S61.101D	"Unspecified open wound of right thumb with damage to nail, subsequent encounter"
47002	S61.101S	"Unspecified open wound of right thumb with damage to nail, sequela"
47005	S61.102D	"Unspecified open wound of left thumb with damage to nail, subsequent encounter"
47006	S61.102S	"Unspecified open wound of left thumb with damage to nail, sequela"
47009	S61.109D	"Unspecified open wound of unspecified thumb with damage to nail, subsequent encounter"
47010	S61.109S	"Unspecified open wound of unspecified thumb with damage to nail, sequela"
47014	S61.111D	"Laceration without foreign body of right thumb with damage to nail, subsequent encounter"
47015	S61.111S	"Laceration without foreign body of right thumb with damage to nail, sequela"
47018	S61.112D	"Laceration without foreign body of left thumb with damage to nail, subsequent encounter"
47019	S61.112S	"Laceration without foreign body of left thumb with damage to nail, sequela"
47022	S61.119D	"Laceration without foreign body of unspecified thumb with damage to nail, subsequent encounter"
47023	S61.119S	"Laceration without foreign body of unspecified thumb with damage to nail, sequela"
47027	S61.121D	"Laceration with foreign body of right thumb with damage to nail, subsequent encounter"
47028	S61.121S	"Laceration with foreign body of right thumb with damage to nail, sequela"
47031	S61.122D	"Laceration with foreign body of left thumb with damage to nail, subsequent encounter"
47032	S61.122S	"Laceration with foreign body of left thumb with damage to nail, sequela"
47035	S61.129D	"Laceration with foreign body of unspecified thumb with damage to nail, subsequent encounter"
47036	S61.129S	"Laceration with foreign body of unspecified thumb with damage to nail, sequela"
47040	S61.131D	"Puncture wound without foreign body of right thumb with damage to nail, subsequent encounter"
47041	S61.131S	"Puncture wound without foreign body of right thumb with damage to nail, sequela"
47044	S61.132D	"Puncture wound without foreign body of left thumb with damage to nail, subsequent encounter"
47045	S61.132S	"Puncture wound without foreign body of left thumb with damage to nail, sequela"
47048	S61.139D	"Puncture wound without foreign body of unspecified thumb with damage to nail, subsequent encounter"
47049	S61.139S	"Puncture wound without foreign body of unspecified thumb with damage to nail, sequela"
47053	S61.141D	"Puncture wound with foreign body of right thumb with damage to nail, subsequent encounter"
47054	S61.141S	"Puncture wound with foreign body of right thumb with damage to nail, sequela"
47057	S61.142D	"Puncture wound with foreign body of left thumb with damage to nail, subsequent encounter"
47058	S61.142S	"Puncture wound with foreign body of left thumb with damage to nail, sequela"
47061	S61.149D	"Puncture wound with foreign body of unspecified thumb with damage to nail, subsequent encounter"
47062	S61.149S	"Puncture wound with foreign body of unspecified thumb with damage to nail, sequela"
47066	S61.151D	"Open bite of right thumb with damage to nail, subsequent encounter"
47067	S61.151S	"Open bite of right thumb with damage to nail, sequela"
47070	S61.152D	"Open bite of left thumb with damage to nail, subsequent encounter"
47071	S61.152S	"Open bite of left thumb with damage to nail, sequela"
47074	S61.159D	"Open bite of unspecified thumb with damage to nail, subsequent encounter"
47075	S61.159S	"Open bite of unspecified thumb with damage to nail, sequela"
47080	S61.200D	"Unspecified open wound of right index finger without damage to nail, subsequent encounter"
47081	S61.200S	"Unspecified open wound of right index finger without damage to nail, sequela"
47084	S61.201D	"Unspecified open wound of left index finger without damage to nail, subsequent encounter"
47085	S61.201S	"Unspecified open wound of left index finger without damage to nail, sequela"
47088	S61.202D	"Unspecified open wound of right middle finger without damage to nail, subsequent encounter"
47089	S61.202S	"Unspecified open wound of right middle finger without damage to nail, sequela"
47092	S61.203D	"Unspecified open wound of left middle finger without damage to nail, subsequent encounter"
47093	S61.203S	"Unspecified open wound of left middle finger without damage to nail, sequela"
47096	S61.204D	"Unspecified open wound of right ring finger without damage to nail, subsequent encounter"
47097	S61.204S	"Unspecified open wound of right ring finger without damage to nail, sequela"
47100	S61.205D	"Unspecified open wound of left ring finger without damage to nail, subsequent encounter"
47101	S61.205S	"Unspecified open wound of left ring finger without damage to nail, sequela"
47104	S61.206D	"Unspecified open wound of right little finger without damage to nail, subsequent encounter"
47105	S61.206S	"Unspecified open wound of right little finger without damage to nail, sequela"
47108	S61.207D	"Unspecified open wound of left little finger without damage to nail, subsequent encounter"
47109	S61.207S	"Unspecified open wound of left little finger without damage to nail, sequela"
47112	S61.208D	"Unspecified open wound of other finger without damage to nail, subsequent encounter"
47113	S61.208S	"Unspecified open wound of other finger without damage to nail, sequela"
47116	S61.209D	"Unspecified open wound of unspecified finger without damage to nail, subsequent encounter"
47117	S61.209S	"Unspecified open wound of unspecified finger without damage to nail, sequela"
47121	S61.210D	"Laceration without foreign body of right index finger without damage to nail, subsequent encounter"
47122	S61.210S	"Laceration without foreign body of right index finger without damage to nail, sequela"
47125	S61.211D	"Laceration without foreign body of left index finger without damage to nail, subsequent encounter"
47126	S61.211S	"Laceration without foreign body of left index finger without damage to nail, sequela"
47129	S61.212D	"Laceration without foreign body of right middle finger without damage to nail, subsequent encounter"
47130	S61.212S	"Laceration without foreign body of right middle finger without damage to nail, sequela"
47133	S61.213D	"Laceration without foreign body of left middle finger without damage to nail, subsequent encounter"
47134	S61.213S	"Laceration without foreign body of left middle finger without damage to nail, sequela"
47137	S61.214D	"Laceration without foreign body of right ring finger without damage to nail, subsequent encounter"
47138	S61.214S	"Laceration without foreign body of right ring finger without damage to nail, sequela"
47141	S61.215D	"Laceration without foreign body of left ring finger without damage to nail, subsequent encounter"
47142	S61.215S	"Laceration without foreign body of left ring finger without damage to nail, sequela"
47145	S61.216D	"Laceration without foreign body of right little finger without damage to nail, subsequent encounter"
47146	S61.216S	"Laceration without foreign body of right little finger without damage to nail, sequela"
47149	S61.217D	"Laceration without foreign body of left little finger without damage to nail, subsequent encounter"
47150	S61.217S	"Laceration without foreign body of left little finger without damage to nail, sequela"
47153	S61.218D	"Laceration without foreign body of other finger without damage to nail, subsequent encounter"
47154	S61.218S	"Laceration without foreign body of other finger without damage to nail, sequela"
47157	S61.219D	"Laceration without foreign body of unspecified finger without damage to nail, subsequent encounter"
47158	S61.219S	"Laceration without foreign body of unspecified finger without damage to nail, sequela"
47162	S61.220D	"Laceration with foreign body of right index finger without damage to nail, subsequent encounter"
47163	S61.220S	"Laceration with foreign body of right index finger without damage to nail, sequela"
47166	S61.221D	"Laceration with foreign body of left index finger without damage to nail, subsequent encounter"
47167	S61.221S	"Laceration with foreign body of left index finger without damage to nail, sequela"
47170	S61.222D	"Laceration with foreign body of right middle finger without damage to nail, subsequent encounter"
47171	S61.222S	"Laceration with foreign body of right middle finger without damage to nail, sequela"
47174	S61.223D	"Laceration with foreign body of left middle finger without damage to nail, subsequent encounter"
47175	S61.223S	"Laceration with foreign body of left middle finger without damage to nail, sequela"
47178	S61.224D	"Laceration with foreign body of right ring finger without damage to nail, subsequent encounter"
47179	S61.224S	"Laceration with foreign body of right ring finger without damage to nail, sequela"
47182	S61.225D	"Laceration with foreign body of left ring finger without damage to nail, subsequent encounter"
47183	S61.225S	"Laceration with foreign body of left ring finger without damage to nail, sequela"
47186	S61.226D	"Laceration with foreign body of right little finger without damage to nail, subsequent encounter"
47187	S61.226S	"Laceration with foreign body of right little finger without damage to nail, sequela"
47190	S61.227D	"Laceration with foreign body of left little finger without damage to nail, subsequent encounter"
47191	S61.227S	"Laceration with foreign body of left little finger without damage to nail, sequela"
47194	S61.228D	"Laceration with foreign body of other finger without damage to nail, subsequent encounter"
47195	S61.228S	"Laceration with foreign body of other finger without damage to nail, sequela"
47198	S61.229D	"Laceration with foreign body of unspecified finger without damage to nail, subsequent encounter"
47199	S61.229S	"Laceration with foreign body of unspecified finger without damage to nail, sequela"
47203	S61.230D	"Puncture wound without foreign body of right index finger without damage to nail, subsequent encounter"
47204	S61.230S	"Puncture wound without foreign body of right index finger without damage to nail, sequela"
47207	S61.231D	"Puncture wound without foreign body of left index finger without damage to nail, subsequent encounter"
47208	S61.231S	"Puncture wound without foreign body of left index finger without damage to nail, sequela"
47211	S61.232D	"Puncture wound without foreign body of right middle finger without damage to nail, subsequent encounter"
47212	S61.232S	"Puncture wound without foreign body of right middle finger without damage to nail, sequela"
47215	S61.233D	"Puncture wound without foreign body of left middle finger without damage to nail, subsequent encounter"
47216	S61.233S	"Puncture wound without foreign body of left middle finger without damage to nail, sequela"
47219	S61.234D	"Puncture wound without foreign body of right ring finger without damage to nail, subsequent encounter"
47220	S61.234S	"Puncture wound without foreign body of right ring finger without damage to nail, sequela"
47223	S61.235D	"Puncture wound without foreign body of left ring finger without damage to nail, subsequent encounter"
47224	S61.235S	"Puncture wound without foreign body of left ring finger without damage to nail, sequela"
47227	S61.236D	"Puncture wound without foreign body of right little finger without damage to nail, subsequent encounter"
47228	S61.236S	"Puncture wound without foreign body of right little finger without damage to nail, sequela"
47231	S61.237D	"Puncture wound without foreign body of left little finger without damage to nail, subsequent encounter"
47232	S61.237S	"Puncture wound without foreign body of left little finger without damage to nail, sequela"
47235	S61.238D	"Puncture wound without foreign body of other finger without damage to nail, subsequent encounter"
47236	S61.238S	"Puncture wound without foreign body of other finger without damage to nail, sequela"
47239	S61.239D	"Puncture wound without foreign body of unspecified finger without damage to nail, subsequent encounter"
47240	S61.239S	"Puncture wound without foreign body of unspecified finger without damage to nail, sequela"
47244	S61.240D	"Puncture wound with foreign body of right index finger without damage to nail, subsequent encounter"
47245	S61.240S	"Puncture wound with foreign body of right index finger without damage to nail, sequela"
47248	S61.241D	"Puncture wound with foreign body of left index finger without damage to nail, subsequent encounter"
47249	S61.241S	"Puncture wound with foreign body of left index finger without damage to nail, sequela"
47252	S61.242D	"Puncture wound with foreign body of right middle finger without damage to nail, subsequent encounter"
47253	S61.242S	"Puncture wound with foreign body of right middle finger without damage to nail, sequela"
47256	S61.243D	"Puncture wound with foreign body of left middle finger without damage to nail, subsequent encounter"
47257	S61.243S	"Puncture wound with foreign body of left middle finger without damage to nail, sequela"
47260	S61.244D	"Puncture wound with foreign body of right ring finger without damage to nail, subsequent encounter"
47261	S61.244S	"Puncture wound with foreign body of right ring finger without damage to nail, sequela"
47264	S61.245D	"Puncture wound with foreign body of left ring finger without damage to nail, subsequent encounter"
47265	S61.245S	"Puncture wound with foreign body of left ring finger without damage to nail, sequela"
47268	S61.246D	"Puncture wound with foreign body of right little finger without damage to nail, subsequent encounter"
47269	S61.246S	"Puncture wound with foreign body of right little finger without damage to nail, sequela"
47272	S61.247D	"Puncture wound with foreign body of left little finger without damage to nail, subsequent encounter"
47273	S61.247S	"Puncture wound with foreign body of left little finger without damage to nail, sequela"
47276	S61.248D	"Puncture wound with foreign body of other finger without damage to nail, subsequent encounter"
47277	S61.248S	"Puncture wound with foreign body of other finger without damage to nail, sequela"
47280	S61.249D	"Puncture wound with foreign body of unspecified finger without damage to nail, subsequent encounter"
47281	S61.249S	"Puncture wound with foreign body of unspecified finger without damage to nail, sequela"
47285	S61.250D	"Open bite of right index finger without damage to nail, subsequent encounter"
47286	S61.250S	"Open bite of right index finger without damage to nail, sequela"
47289	S61.251D	"Open bite of left index finger without damage to nail, subsequent encounter"
